player_id,player_name,player_state,summed_minutes_played,form,fdr,pts_irf,player_position,player_cost,opp,gwk_31_pts
434,Thomas,100,45,-0.2,4,0,MID,5.5,WHU,1
435,Smallbone,0,0,0,2,0,MID,4.4,WBA,0
436,Gibbs,50,0,0,2,0,GKP,4.5,SOU,0
437,Edwards,100,0,0,2,1,DEF,5.2,SOU,0
438,Austin,0,0,0,2,0,DEF,3.8,SOU,0
439,Gibbs-White,100,6,0.2,2,0,FWD,5.1,FUL,1
440,Sakho,0,0,0,4,0,MID,4.8,CHE,0
441,Tosun,0,0,0,2,0,DEF,4.4,BHA,0
442,Garcia,100,15,0.2,3,0,MID,4.7,LEE,0
443,Jagielka,100,201,-0.4,3,0,FWD,5.1,ARS,0
444,Mustafi,0,0,0,2,0,DEF,4.2,SHU,0
446,Gordon,0,0,0,2,0,DEF,3.8,BHA,0
447,Morgan,75,0,0,4,0,MID,4.2,WHU,0
450,Valery,0,0,0,2,0,MID,4.8,WBA,0
451,Field,0,0,0,2,0,DEF,4.3,SOU,0
451,Field,0,0,0,2,0,DEF,4.9,SOU,0
452,Kolasinac,0,0,0,2,0,MID,5.2,SHU,0
453,Nelson,100,0,0,2,0,DEF,4.7,SHU,0
454,Bardsley,100,0,0,2,1,DEF,4.2,NEW,0
457,Gilmour,100,0,0,3,0,MID,4.6,CRY,0
